NSeasons,NMatches,Ntop,Acc
5,9,8,51.83
5,9,9,51.22
5,9,10,51.83
5,9,11,53.05
5,9,12,50.61
5,9,13,51.22
5,9,14,50.61
5,9,15,50.61
5,10,1,42.07
5,10,2,44.51
5,10,3,46.34
5,10,4,47.56
5,10,5,46.34
5,10,6,53.05
5,10,7,53.05
5,10,8,52.44
5,10,9,53.05
5,10,10,53.05
5,10,11,53.05
5,10,12,53.05
5,10,13,51.83
5,10,14,52.44
5,10,15,51.83
